strategy,class_id,class_label,mean_predicted_probability,observed_frequency
m=1.5,0,SL (class 0),0.02839405739123558,0.21645021645021645
m=1.5,0,SL (class 0),0.16310413279870645,0.25770308123249297
m=1.5,0,SL (class 0),0.24835245386411264,0.3066734589913398
m=1.5,0,SL (class 0),0.3335344684560124,0.37317073170731707
m=1.5,0,SL (class 0),0.4364320459854172,0.4819277108433735
m=1.5,0,SL (class 0),0.5272033462921778,0.4166666666666667
m=1.5,1,TP (class 1),0.06814813315722097,0.05759162303664921
m=1.5,1,TP (class 1),0.15875448314433402,0.12
m=1.5,1,TP (class 1),0.24471747994083284,0.2003798670465337
m=1.5,1,TP (class 1),0.34163665654249564,0.2422360248447205
m=1.5,1,TP (class 1),0.44468131301303704,0.2791666666666667
m=1.5,1,TP (class 1),0.5428641759432279,0.3776223776223776
m=1.5,1,TP (class 1),0.648967138221187,0.46774193548387094
m=1.5,1,TP (class 1),0.7342467159032822,0.5555555555555556
m=1.5,1,TP (class 1),0.831044080582532,0.5
m=1.5,1,TP (class 1),0.9856767505407333,0.625
m=1.5,2,TIME (class 2),0.009175681192031566,0.09929078014184398
m=1.5,2,TIME (class 2),0.1605848225904262,0.2677165354330709
m=1.5,2,TIME (class 2),0.25292481490127416,0.32065217391304346
m=1.5,2,TIME (class 2),0.35546279816251053,0.38596491228070173
m=1.5,2,TIME (class 2),0.4566570941028716,0.4287974683544304
m=1.5,2,TIME (class 2),0.5498128126547175,0.5650485436893203
m=1.5,2,TIME (class 2),0.6427782823550282,0.6173752310536045
m=1.5,2,TIME (class 2),0.7435305527751408,0.6666666666666666
m=1.5,2,TIME (class 2),0.8392380520562145,0.7102803738317757
m=1.5,2,TIME (class 2),0.9492629630523816,0.7543859649122807
